          count    tax_cut   perc_cut    tax_inc   perc_inc       mean  tot_change  share_of_change  pc_aftertaxinc
0          0.00       0.00       0.00       0.00       0.00       0.00        0.00             0.00             nan
1          0.00       0.00       0.00       0.00       0.00       0.00        0.00             0.00             nan
2          0.00       0.00       0.00       0.00       0.00       0.00        0.00             0.00             nan
3          0.00       0.00       0.00       0.00       0.00       0.00        0.00             0.00             nan
4          2.00       0.00       0.00       0.00       0.00       0.00        0.00             0.00            0.00
5          0.00       0.00       0.00       0.00       0.00       0.00        0.00             0.00             nan
6          3.00       0.00       0.00       0.00       0.00       0.00        0.00             0.00            0.00
7          0.00       0.00       0.00       0.00       0.00       0.00        0.00             0.00             nan
8          2.00       0.00       0.00       0.00       0.00       0.00        0.00             0.00            0.00
9          2.00       0.00       0.00       1.00      50.00  13,586.47   27,172.94           100.00           -3.21
sums       9.00       0.00       0.00       1.00      11.11   3,019.22   27,172.94           100.00           -1.65
